,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
1,465.37453025026497,-400.1936575156495,-53.47870119968873,-267.186815033285,-128.27251283185205,-42.692006852024875,-129.09095577360154,-253.4842914790069,-428.4906713541309,65.40582139241118,213.6058866383191,-122.27717126996517,96.23506785934033,-27.502582838782416,200.0688250946339,61.981079626184695,53.75948765996666
2,461.2499153625939,-456.14394391817376,-93.05705451989172,-322.61131497869104,-136.37508827598577,-51.464532064774446,-153.4572464241901,-251.35894798246184,-264.83132306545355,28.062353628511797,250.21404760878113,-300.7768187440416,142.71528803572943,-23.880594514955927,210.89155167582078,26.496565161712688,19.70465515275875
4,475.8177321928823,-420.3663123268228,-111.58926783176668,-346.81228966563936,-109.31010703372323,-56.01508648552268,-191.35988021472295,-289.735056050127,-530.2651323484326,32.41043195713866,267.77232112642804,-368.06098281417917,177.0924237184755,-12.745227798133806,229.22524331112396,40.91100946317925,42.87695940646565
5,476.6483444605956,-414.2921335182269,-78.79386711023186,-327.0202070418276,-70.97449102917184,-61.03898070501861,-158.7305420541011,-266.69929024825393,-397.94120239072305,32.20804386061096,214.0207152445425,-351.09272390918125,100.20543982481612,-23.081114191125216,120.59687438979829,166.33610553710483,48.15004484566345
7,546.3755957323125,-716.6867610257872,-113.60929332350258,-364.69164026566204,-148.72684723609842,-59.549705126760344,-199.47413947013158,-293.73937776849414,-545.7331037446653,34.94578760263274,287.32485046467775,-394.72277818701235,185.2127293623209,-2.288988455451402,235.47018433748673,143.7805641486041,54.167924371096404
8,525.4399231992164,-702.9839772664492,-112.1708147645528,-314.4743702821352,-155.33373829621843,-53.82704380753376,-189.99540885580558,-276.5888094297297,-537.553272931379,45.54166519621504,283.192626212461,-371.8578706301185,188.26749714313328,1.0751365084892994,244.00658406386512,119.03889885743773,51.44778276768746
9,251.52179594686228,-252.87880480052007,24.862772490013427,-142.99259645944153,-61.77474816419896,-18.64814930282811,-76.0144873423367,20.087283611490083,-237.19724612991178,15.165442340444178,139.11955969570076,-169.61288009028598,92.0818367868517,8.306701585313935,113.3518291178248,23.41856487521747,39.1517081676329
11,506.25250202781694,-447.5492375705861,-112.10541289274191,-374.4575018521492,-107.31147580626559,-59.84567528468605,-202.43431342947375,-310.51342801463744,-557.5271393757813,35.68416376846087,283.3142075976722,-398.7150067950746,182.33514604587074,-13.855664453844195,231.3933435178525,109.81707595076563,48.58032158859516
12,360.7168029773805,-515.1356941609719,-89.53848120535814,-359.14708578704506,-127.66488176774322,-48.74139810593962,-125.16024971150229,-214.21948789064572,-410.9295190205003,63.67005229004131,219.60231233911531,-268.0904115317865,132.8890839167186,-31.619820575900086,193.3133249502973,51.66498152501905,20.032326185029433
13,298.64271469458674,-305.4932866001652,-59.31445309093408,-226.93073017539746,-300.2999038254754,-44.330211791856094,-115.6967648388129,-181.39695255518055,-316.5701346405907,20.267191395065712,146.3504743330763,-205.18665093919253,89.55440950048207,-4.633403525571401,97.26156093458879,74.82838091954288,-6.335317589940228
14,284.18357057576304,-252.4491180249422,-10.3088977149104,-145.61949018556723,-63.334545566401715,-19.163169439437286,-77.14639722358395,27.2071764174404,-235.94910974753577,15.44605471426454,140.1596940534424,-177.89026733536858,95.69332292781851,10.99545438511814,112.66903878379934,26.44272924125424,37.2321975525273
