,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
2,-1109.7750093051898,-115.11951235648537,-31.469549884915377,-3.3692853784799013,-373.2504274547093,595.4095402365671,193.7614470310149,756.8079264137052,-480.15341152297856,-225.35086472342357,29.686628114905965,-287.6154552804676,-298.7230801672671,-135.07108978034458,-233.155193282582,-88.829600058297,227.19317800473712
4,-1154.6159068940833,-133.26096936285023,-38.17607230845815,46.30506891684341,-414.07683141726744,573.588463963349,156.58395391041253,742.1310474511887,-504.1582721745075,-402.98186186500664,-8.701491648092505,-336.9037397908197,-344.9968316467235,-161.0979817793022,-271.820267485293,-90.39003843453352,186.04471291077778
5,-1008.2444872011749,-315.9182812386016,-51.03018539775234,-18.585349940972492,-341.8183443035628,549.5853509637095,164.3736057096244,673.2375040043963,-467.87245642940456,-380.5434338138766,17.455918527691818,-266.02706754830774,-297.70125880372274,-136.08802208555468,-229.4756344751478,-110.40496529141598,279.9843840437317
6,-1061.0132448404906,-126.01412008198098,-19.519145711944212,43.8311239667065,-381.83253102609945,546.0266640562977,139.754255436276,671.6531204130631,-463.8455781472536,-403.0946150029963,-13.657719057204396,-313.74389746037036,-322.7866033873216,-156.44401442191116,-258.0592139002301,-83.09105399113679,165.9771212535022
7,-1071.8980107441432,-317.63654418927774,-50.401051142811035,-18.90026399174643,-351.4270931375685,575.4513089603099,172.0486032925805,699.7695843383347,-475.20853526585455,-358.11491877636684,23.025387483702332,-271.6120684649218,-297.5659936455904,-136.27301452347223,-230.73817514524868,-113.39635221488173,280.6519666632007
8,-695.2084752424239,-87.32526195907501,-28.1504877030754,-99.4301763621751,-249.35925420832592,364.22632750552685,184.21685937442666,497.6724935820082,-312.7027756323994,-278.95897386098295,0.26320166935232825,-178.81535514277707,-241.48184557464958,-100.68977771565885,-189.87796336069977,43.03182397279522,131.949834555861
9,-501.52950046826453,-59.13471877930227,100.27241110360004,-27.12301481055105,-158.11319589066017,391.94133362388243,88.38385294590992,314.98502563029683,-215.54809789258664,-168.39444900163124,9.417533015780752,-129.7839283898521,-143.20641504916082,-84.15395130664274,-123.09228697085764,-39.495036696193345,108.03343802716068
11,-1079.5723219738518,-321.9626516794894,-48.336119176776315,-5.91969579291254,-360.7680863887867,567.1273124175584,163.1674236359004,694.5990130953606,-480.2008928698707,-401.5472450904751,13.405274670276262,-287.137138046397,-308.35446015523166,-143.01241564390685,-240.62629684026533,-113.51322958166448,271.773008293103
12,-933.1066030548999,11.617748857431552,-64.29318710804895,21.227707004246856,-314.4809718377467,499.03649322452014,108.971559469903,594.8994078313088,-411.8997181045632,-360.2324268334475,21.628610628031268,-243.4868535630631,-267.88607543290414,-103.27239737864805,-208.0095461779012,-87.31839821943552,251.18576727259196
13,-737.06386055395,-13.158275914815464,-34.37062278534085,31.063841044904645,-245.73399274456725,381.41243400820304,225.1470231538043,452.9594863022778,-326.5795658335484,-308.0960060839418,-0.2070240915992555,-189.3521242315909,-209.09125980663129,-150.98357564269625,-149.63794729748898,-97.99060212621352,201.96137597771406
