,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
1,127.59811308335931,181.19356261473436,155.476715161093,-145.7509504254966,573.5833106394628,38.54379334919515,456.68016228148264,205.90294343999798,-53.872591250393675,19.70850670319244,280.11647106684904,-114.56449524392025,-23.22034253045613,-229.08706676818633,106.31492809421007,84.97469368821604,186.33143666127842
2,-59.46223420208018,278.5998187227757,257.7627163242109,-214.70767533925346,908.1477975020232,76.89014468694009,716.1222704053437,368.10507221657446,-57.65238228401234,22.49141621465938,634.1451091927443,-190.45350653258723,-21.80535864618207,-343.6370164987057,126.87628760606123,142.02205903823898,309.11692795713293
4,-108.07657732384412,249.89977366650473,256.8638870234734,-202.68478845259068,1014.0134986913599,80.1261032694467,733.0936064063559,330.2873349292622,-72.739817005913,-4.195511981714292,502.49172901682044,-171.0233291542606,-28.036891580360646,-345.2498579609618,161.67401759655218,131.78817918633226,286.77156511773177
5,-21.751646422425914,215.01487879776647,190.75942217649188,-177.24888335369087,667.537520027686,34.14964686743702,532.981402743141,233.04569949372606,-51.795812823386804,29.96866389387834,353.5491233502611,-120.10129745295632,-46.495348077551746,-302.63244617335806,134.30061624851214,84.08030145129602,16.851677754204566
6,-102.55873636354491,217.89163139632626,226.3435341401637,-177.93621080087448,903.8224829579053,104.50999412329917,642.9889895511833,277.9570794470461,-63.95331614653007,-6.7795621482717,412.9566656035072,-144.4368954844004,-30.992019864711583,-305.0075462658935,151.05654974596033,115.25027949292415,249.76842692055806
7,-50.52148049323332,229.59279141476523,207.49271022626965,-188.18783700816772,710.6025116999265,39.93749858323323,570.7361103438467,258.00170073287836,-51.714686294833,31.229300832703746,413.6345856886057,-130.56950052656418,-46.59847318349127,-318.3622472905249,136.46014318746296,93.19242445385571,36.17646371259191
8,-45.652478488960796,172.2128580032961,168.22943495739193,-117.20677183576463,568.2875821861464,45.9874298009178,438.1545829960886,202.28800632981282,-57.94506924238155,175.27220327747062,304.27433673083965,-100.90901549430059,-46.30524155278118,-215.37240461682592,94.90266531996771,101.26811882123467,190.3165211549328
9,-30.064086158358137,111.99862750468246,279.17988213260406,-80.07123714754033,321.0532510530522,31.39527045684934,266.6059962277447,117.76619493664766,15.928207662295936,22.610837083287155,175.14591016386652,-68.36280460064015,-8.715766590279646,-119.38148400922955,73.49018140485124,49.249710783715166,99.9922579244811
11,-108.20813950167452,237.16358423578708,245.93177704891016,-198.26549104671287,979.876837042063,73.05657441181229,704.1816604091154,306.8394035926303,-68.00992073627391,-3.5436044148572012,451.5852332896931,-158.16095836666526,-34.55183884057627,-342.84669254164453,164.4385638884491,121.58043450650945,230.69835078848018
12,-60.10975812692155,177.43663066734783,178.62531715341893,-155.9305086542726,437.2085196938774,45.826102060256694,466.5408554140205,234.68659880060733,-65.93229815182823,-50.089313175116274,297.24052535879173,-137.39108169875524,-19.832878128779935,-232.88936156722332,118.95071218041136,123.42285362031629,203.0704231348186
13,-49.9289401424341,184.25086514778445,152.14014826415547,-346.93703087182007,542.5066809145616,27.77529325176017,422.97920756370524,196.42334694844465,-42.586854267799104,-9.44597352166911,276.27462340262304,-73.32479520292728,-51.79792833989729,-217.5470350656791,115.27925361704649,67.55344585248604,187.1696571298005
14,1.7796665173481228,111.41633912670292,274.81827271825586,-90.79777945654743,349.6887389819869,32.12925057896746,285.47509030635166,127.03760430215782,-13.741117968217138,20.868432885799752,195.6960400208288,-63.246477642885694,-9.83678122300858,-129.1193173092289,74.20547627472043,55.0751657328601,106.88605022792676
15,9.801511003493586,331.8452011560837,144.5409393773614,-150.63191549676176,675.9806406776088,45.8634312440235,518.7689551904455,257.80255507146035,-0.5286912418153059,11.107698301971864,281.914924005701,-138.02932722516067,-12.808349600934415,-290.14970185171103,87.25885095849333,65.33593460447172,256.245615843437
16,-31.392213777485367,250.87219708074198,221.9423660686315,-212.36677727495552,622.0908618253014,56.0262987786902,616.2067058954356,258.21518574500453,-55.25996622862679,50.594138358583926,396.89389539340647,-116.85663424375018,-39.87979173968005,-306.30657296287853,134.31365791903548,91.49494477266957,246.19150224157463
17,-17.646969023794487,87.58535705959137,86.995387000633,-64.0370047309338,230.44136854547563,16.15596185187771,199.04594303176847,103.63889816055382,-42.206265399155136,-10.274699831469679,133.74111625364696,-54.94123638283317,-2.899914586371213,-108.9277924444111,115.83121754040911,233.21535448361115,107.99508217963967
19,-41.333476402521676,246.1394303948239,221.78536123051484,-191.1332592975077,767.3077779758955,63.698947775777874,615.8181561746292,360.05808597357736,-43.952849173356924,17.008665629265032,580.5823216893401,-164.25498417771942,-17.196696250116666,-300.82436982755087,104.59523289725213,120.00469506915847,278.2930055950758
20,-45.920805267100285,245.72035723323853,220.16257224706013,-175.80275205570624,769.4559092136925,57.98045885885124,616.7099126129526,310.87598802896895,-47.855292350896455,28.547908233309823,580.142881802249,-154.70223720652254,-31.338996685841668,-312.1192006576903,122.20006684864983,114.56957009857054,297.10749554276475
21,-14.779312016196675,308.8353251014167,124.94538540035103,-138.6145525469066,617.205401696431,40.19036928288768,470.19143402767503,237.41380564153758,41.283635426641666,5.225870416205274,257.25823544397934,-117.27915421514702,-11.02724667917652,-268.86374448973845,74.68393314666744,57.14514988574803,236.11313217256912
22,-53.58991235239307,185.4697981005375,176.64612281501655,-150.60350890787902,435.4397119382668,43.92891589495195,471.73227346453456,232.93036896812725,-59.57527535867326,-36.014207019569206,306.81869161290496,-135.50212069301833,-18.662967161857146,-238.7860959449665,120.86171695441311,111.89599210472909,150.42820683604984
23,-34.94763679341153,190.09543530010993,187.82604506202057,-245.18508606677173,625.4566991094916,53.89423668581915,491.0819426883333,207.32374871556928,-52.521176060259016,153.62861856904806,342.8541539151781,-150.3759854793651,40.33686401198589,-242.0900309592754,100.68009655090513,95.64223449173299,193.20376704936615
24,-15.219543237568205,311.8046920162134,124.60620032469977,-138.15564678703845,614.2846540410364,40.2332604920138,467.7611365928136,236.2926217918603,40.79997363926154,4.917636942241739,256.1077900348163,-116.75752650527431,-10.904501248866957,-266.76350725241923,74.0956214093378,57.408968938412,238.90821989825062
25,141.0115478929325,110.77020429578158,162.75188417846945,-129.58636770691754,481.2389731563558,35.79263965834336,374.48122054851945,162.76348152813628,-56.37913649945751,13.369380181356723,286.94628919082885,-78.73636036870137,-25.087221485676398,-161.3214941194173,104.25648772846206,90.4168776728916,156.7040386071908
26,-57.45007083621137,250.97742657644065,228.45057932551978,-233.0035273049642,630.0863632729277,58.82375773233138,621.3440602423548,257.5087965093957,-54.70714373600075,70.95410237080804,409.8286751414616,-123.40510060409493,-26.218293196839106,-307.1810522799776,133.50365529630494,93.28515384870497,246.81724072261608
