5-nano,5-mini,gpt-5,5.2-pro,5.2-c,5.1-c,4o
1,24,11,24,24,4,4
9,54,24,32,56,22,52
21,56,56,66,62,24,59
40,62,59,67,67,56,62
49,67,85,95,108,59,85
50,108,155,108,132,62,86
54,128,232,153,155,75,106
56,132,238,194,204,124,117
63,153,263,197,209,132,128
74,155,266,238,239,155,132
75,179,323,239,244,159,134
77,189,338,244,259,200,155
80,194,383,245,269,221,159
86,209,398,269,321,225,200
89,232,414,326,326,232,209
95,238,420,338,338,239,211
110,239,439,356,340,242,216
114,262,461,362,383,252,223
121,266,501,408,408,266,224
126,269,513,417,417,323,232
128,278,522,420,420,338,238
137,290,524,434,434,353,266
150,326,547,437,457,383,343
155,330,613,441,461,398,383
167,338,614,474,474,405,420
181,343,632,483,483,437,437
186,358,644,505,488,461,456
200,360,649,513,505,483,457
202,362,695,522,513,488,461
209,368,699,524,522,501,474
212,387,726,527,528,520,479
224,390,742,528,547,522,483
232,412,765,543,559,524,522
239,417,767,547,581,544,524
241,420,769,559,607,547,532
243,434,790,581,608,613,581
251,441,823,613,613,621,607
257,474,834,614,614,624,613
260,487,868,624,632,632,632
266,513,906,632,638,641,638
269,522,917,700,677,646,646
276,547,930,703,692,670,649
278,565,958,721,699,692,669
279,581,1021,724,720,695,705
283,608,1058,727,729,700,721
284,613,1094,746,734,721,724
290,632,1114,765,736,734,726
313,638,1161,767,746,736,728
314,644,1170,778,761,745,734
321,646,1190,782,765,746,740
324,695,1197,790,767,751,745
331,699,1214,801,778,765,810
332,721,1217,823,779,777,813
333,728,1227,840,782,793,817
338,734,1258,882,801,801,821
341,745,1356,886,811,810,826
343,759,1362,917,823,813,833
356,765,1397,926,824,879,888
358,823,1404,929,825,894,906
363,824,1406,979,906,906,917
367,831,1414,990,917,925,926
373,917,1430,995,929,933,955
398,925,1513,1010,933,982,987
399,926,1514,1017,942,990,990
401,933,1520,1019,987,995,993
408,979,1549,1036,990,1010,995
412,1004,1550,1064,995,1054,1010
417,1010,1563,1076,1010,1087,1017
420,1064,1593,1091,1017,1094,1054
429,1065,1618,1094,1036,1109,1077
434,1091,1643,1109,1057,1114,1087
437,1094,1650,1114,1058,1127,1090
447,1114,1709,1134,1087,1134,1094
451,1134,1724,1155,1091,1135,1100
459,1140,1739,1170,1109,1161,1114
472,1147,1795,1184,1114,1173,1129
474,1155,1800,1197,1134,1197,1141
481,1173,1819,1202,1170,1201,1147
499,1183,1845,1214,1173,1217,1173
505,1197,1869,1217,1196,1280,1184
507,1217,1940,1222,1197,1287,1197
513,1222,1954,1246,1214,1304,1217
522,1274,1990,1258,1215,1342,1227
534,1276,2011,1276,1217,1362,1241
538,1304,2048,1280,1222,1397,1265
545,1329,2054,1281,1276,1406,1274
571,1342,2120,1361,1280,1414,1304
572,1351,2151,1367,1350,1430,1342
586,1369,2153,1371,1356,1433,1351
587,1371,2169,1391,1365,1442,1352
598,1389,,1406,1402,1473,1361
602,1403,,1414,1403,1493,1376
614,1406,,1432,1406,1513,1389
615,1414,,1442,1432,1520,1397
619,1418,,1520,1433,1549,1402
627,1442,,1549,1442,1550,1404
632,1480,,1563,1502,1563,1413
644,1511,,1575,1513,1575,1414
647,1520,,1604,1520,1591,1442
649,1538,,1626,1549,1593,1453
650,1549,,1635,1575,1611,1459
658,1557,,1650,1593,1643,1473
668,1563,,1691,1618,1650,1489
677,1575,,1698,1625,1709,1520
678,1643,,1703,1643,1724,1521
684,1650,,1724,1650,1726,1549
692,1659,,1739,1703,1739,1550
717,1682,,1765,1724,1741,1585
721,1703,,1777,1736,1750,1593
724,1724,,1786,1741,1772,1625
726,1726,,1808,1792,1782,1632
734,1736,,1820,1793,1790,1643
736,1739,,1830,1845,1808,1646
742,1741,,1845,1869,1869,1650
746,1792,,1869,1954,1878,1703
754,1845,,1908,1960,1910,1707
756,1873,,1910,1963,1914,1720
765,1881,,1940,1990,1938,1724
767,1897,,1943,2029,1940,1726
776,1923,,1954,2043,1954,1739
779,1940,,1963,2051,1990,1741
783,1943,,1990,2084,2048,1750
793,1953,,2009,2090,2051,1770
799,1954,,2029,2094,2063,1792
801,1979,,2048,2120,2066,1808
803,1981,,2051,2148,2068,1869
805,1990,,2067,2151,2090,1888
824,2011,,2094,2166,2120,1890
830,2054,,2119,2169,2151,1900
835,2068,,2126,,2153,1954
839,2073,,2142,,2185,1979
840,2094,,2148,,,2048
843,2120,,2151,,,2051
845,2126,,2169,,,2058
855,2130,,,,,2066
877,2147,,,,,2094
880,2165,,,,,2119
886,2169,,,,,2120
887,2177,,,,,2122
895,,,,,,2151
913,,,,,,2165
923,,,,,,
929,,,,,,
933,,,,,,
938,,,,,,
939,,,,,,
947,,,,,,
962,,,,,,
975,,,,,,
977,,,,,,
981,,,,,,
995,,,,,,
998,,,,,,
1004,,,,,,
1010,,,,,,
1017,,,,,,
1019,,,,,,
1029,,,,,,
1035,,,,,,
1036,,,,,,
1053,,,,,,
1063,,,,,,
1066,,,,,,
1084,,,,,,
1091,,,,,,
1093,,,,,,
1094,,,,,,
1096,,,,,,
1107,,,,,,
1109,,,,,,
1114,,,,,,
1116,,,,,,
1117,,,,,,
1124,,,,,,
1141,,,,,,
1147,,,,,,
1155,,,,,,
1170,,,,,,
