video_id,cosine_distance,,1が大量発生・・・・
4,1,,
52,1,,
59,1,,
62,1,,
85,1,,
86,1,,
106,1,,
117,1,,
128,1,,
132,1,,
134,1,,
155,1,,
159,1,,
200,1,,
209,1,,
211,1,,
216,1,,
223,1,,
224,1,,
232,1,,
238,1,,
266,1,,
343,1,,
383,1,,
420,1,,
437,1,,
456,1,,
457,1,,
461,1,,
474,1,,
479,1,,
483,1,,
522,1,,
524,1,,
532,1,,
581,1,,
607,1,,
613,1,,
632,1,,
638,1,,
646,1,,
649,1,,
669,1,,
705,1,,
721,1,,
724,1,,
726,1,,
728,1,,
734,1,,
740,1,,
745,1,,
810,1,,
813,1,,
817,1,,
821,1,,
826,1,,
833,1,,
888,1,,
906,1,,
917,1,,
926,1,,
955,1,,
987,1,,
990,1,,
993,1,,
995,1,,
1010,1,,
1017,1,,
1054,1,,
1077,1,,
1087,1,,
1090,1,,
1094,1,,
1100,1,,
1114,1,,
1129,1,,
1141,1,,
1147,1,,
1173,1,,
1184,1,,
1197,1,,
1217,1,,
1227,1,,
1241,1,,
1265,1,,
1274,1,,
1304,1,,
1342,1,,
1351,1,,
1352,1,,
1361,1,,
1376,1,,
1389,1,,
1397,1,,
1402,1,,
1404,1,,
1413,1,,
1414,1,,
1442,1,,
1453,1,,
1459,1,,
1473,1,,
1489,1,,
1520,1,,
1521,1,,
1549,1,,
1550,1,,
1585,1,,
1593,1,,
1625,1,,
1632,1,,
1643,1,,
1646,1,,
1650,1,,
1703,1,,
1707,1,,
1720,1,,
1724,1,,
1726,1,,
1739,1,,
1741,1,,
1750,1,,
1770,1,,
1792,1,,
1808,1,,
1869,1,,
1888,1,,
1890,1,,
1900,1,,
1954,1,,
1979,1,,
2048,1,,
2051,1,,
2058,1,,
2066,1,,
2094,1,,
2119,1,,
2120,1,,
2122,1,,
2151,1,,
2165,1,,
24,0.999615532,,
99,0.999615532,,
203,0.999615532,,
362,0.999615532,,
368,0.999615532,,
495,0.999615532,,
614,0.999615532,,
695,0.999615532,,
746,0.999615532,,
747,0.999615532,,
835,0.999615532,,
894,0.999615532,,
951,0.999615532,,
1049,0.999615532,,
1092,0.999615532,,
1095,0.999615532,,
1202,0.999615532,,
1418,0.999615532,,
1440,0.999615532,,
1564,0.999615532,,
1828,0.999615532,,
1845,0.999615532,,
2077,0.999615532,,
547,0.996156802,,
21,0.996155325,,
27,0.996155325,,
71,0.996155325,,
75,0.996155325,,
182,0.996155325,,
194,0.996155325,,
221,0.996155325,,
249,0.996155325,,
259,0.996155325,,
360,0.996155325,,
443,0.996155325,,
621,0.996155325,,
690,0.996155325,,
736,0.996155325,,
778,0.996155325,,
809,0.996155325,,
948,0.996155325,,
1058,0.996155325,,
1066,0.996155325,,
1134,0.996155325,,
1155,0.996155325,,
1214,0.996155325,,
1215,0.996155325,,
1225,0.996155325,,
1250,0.996155325,,
1281,0.996155325,,
1321,0.996155325,,
1328,0.996155325,,
1378,0.996155325,,
1403,0.996155325,,
1465,0.996155325,,
1538,0.996155325,,
1557,0.996155325,,
1611,0.996155325,,
1700,0.996155325,,
1734,0.996155325,,
1747,0.996155325,,
1794,0.996155325,,
1800,0.996155325,,
1806,0.996155325,,
1819,0.996155325,,
1837,0.996155325,,
1844,0.996155325,,
1878,0.996155325,,
1919,0.996155325,,
1939,0.996155325,,
1950,0.996155325,,
1958,0.996155325,,
2001,0.996155325,,
2014,0.996155325,,
2114,0.996155325,,
2132,0.996155325,,
2156,0.996155325,,
297,0.99231065,,
670,0.99231065,,
1331,0.99231065,,
1371,0.99231065,,
1533,0.99231065,,
1706,0.99231065,,
1857,0.99231065,,
1976,0.99231065,,
1170,0.981135837,,
20,0.980776624,,
124,0.980776624,,
147,0.980776624,,
156,0.980776624,,
171,0.980776624,,
323,0.980776624,,
326,0.980776624,,
353,0.980776624,,
358,0.980776624,,
425,0.980776624,,
432,0.980776624,,
468,0.980776624,,
543,0.980776624,,
552,0.980776624,,
559,0.980776624,,
578,0.980776624,,
765,0.980776624,,
774,0.980776624,,
777,0.980776624,,
784,0.980776624,,
792,0.980776624,,
799,0.980776624,,
882,0.980776624,,
934,0.980776624,,
942,0.980776624,,
943,0.980776624,,
971,0.980776624,,
1004,0.980776624,,
1027,0.980776624,,
1082,0.980776624,,
1096,0.980776624,,
1098,0.980776624,,
1178,0.980776624,,
1201,0.980776624,,
1353,0.980776624,,
1362,0.980776624,,
1395,0.980776624,,
1416,0.980776624,,
1466,0.980776624,,
1486,0.980776624,,
1502,0.980776624,,
1516,0.980776624,,
1577,0.980776624,,
1591,0.980776624,,
1663,0.980776624,,
1695,0.980776624,,
1709,0.980776624,,
1725,0.980776624,,
1823,0.980776624,,
1912,0.980776624,,
1914,0.980776624,,
1940,0.980776624,,
1960,0.980776624,,
2019,0.980776624,,
2062,0.980776624,,
2087,0.980776624,,
2115,0.980776624,,
2130,0.980776624,,
2157,0.980776624,,
2177,0.980776624,,
2184,0.980776624,,
263,0.980392157,,
1246,0.980392157,,
352,0.976936382,,
88,0.976931949,,
150,0.976931949,,
409,0.976931949,,
451,0.976931949,,
762,0.976931949,,
939,0.976931949,,
1005,0.976931949,,
1072,0.976931949,,
1237,0.976931949,,
1253,0.976931949,,
1784,0.976931949,,
1893,0.976931949,,
1981,0.976931949,,
2153,0.976931949,,
1381,0.972811428,,
1320,0.961901443,,
214,0.961553249,,
250,0.961553249,,
265,0.961553249,,
290,0.961553249,,
308,0.961553249,,
321,0.961553249,,
387,0.961553249,,
391,0.961553249,,
439,0.961553249,,
470,0.961553249,,
502,0.961553249,,
544,0.961553249,,
629,0.961553249,,
640,0.961553249,,
680,0.961553249,,
727,0.961553249,,
742,0.961553249,,
768,0.961553249,,
788,0.961553249,,
790,0.961553249,,
805,0.961553249,,
868,0.961553249,,
886,0.961553249,,
933,0.961553249,,
970,0.961553249,,
1108,0.961553249,,
1124,0.961553249,,
1131,0.961553249,,
1139,0.961553249,,
1144,0.961553249,,
1203,0.961553249,,
1277,0.961553249,,
1284,0.961553249,,
1291,0.961553249,,
1365,0.961553249,,
1443,0.961553249,,
1454,0.961553249,,
1469,0.961553249,,
1587,0.961553249,,
1649,0.961553249,,
1730,0.961553249,,
1771,0.961553249,,
1778,0.961553249,,
1779,0.961553249,,
1897,0.961553249,,
1904,0.961553249,,
1943,0.961553249,,
1947,0.961553249,,
1997,0.961553249,,
2040,0.961553249,,
2054,0.961553249,,
2083,0.961553249,,
2090,0.961553249,,
2126,0.961553249,,
2154,0.961553249,,
2164,0.961553249,,
7,0.961168781,,
87,0.961168781,,
239,0.961168781,,
772,0.961168781,,
795,0.961168781,,
944,0.961168781,,
1078,0.961168781,,
1176,0.961168781,,
1260,0.961168781,,
1430,0.961168781,,
1535,0.961168781,,
1612,0.961168781,,
1876,0.961168781,,
1879,0.961168781,,
1916,0.961168781,,
1996,0.961168781,,
1505,0.957716701,,
98,0.942340956,,
2,0.942329873,,
13,0.942329873,,
50,0.942329873,,
108,0.942329873,,
177,0.942329873,,
185,0.942329873,,
244,0.942329873,,
264,0.942329873,,
296,0.942329873,,
318,0.942329873,,
453,0.942329873,,
536,0.942329873,,
538,0.942329873,,
557,0.942329873,,
580,0.942329873,,
645,0.942329873,,
672,0.942329873,,
700,0.942329873,,
708,0.942329873,,
753,0.942329873,,
848,0.942329873,,
855,0.942329873,,
891,0.942329873,,
937,0.942329873,,
945,0.942329873,,
992,0.942329873,,
1001,0.942329873,,
1163,0.942329873,,
1391,0.942329873,,
1445,0.942329873,,
1597,0.942329873,,
