video_id,cosine_distance
24,1
54,1
56,1
62,1
67,1
108,1
128,1
132,1
153,1
155,1
179,1
189,1
194,1
209,1
232,1
238,1
239,1
262,1
266,1
269,1
278,1
290,1
326,1
330,1
338,1
343,1
358,1
360,1
362,1
368,1
387,1
390,1
412,1
417,1
420,1
434,1
441,1
474,1
487,1
513,1
522,1
547,1
565,1
581,1
608,1
613,1
632,1
638,1
644,1
646,1
695,1
699,1
721,1
728,1
734,1
745,1
759,1
765,1
823,1
824,1
831,1
917,1
925,1
926,1
933,1
979,1
1004,1
1010,1
1064,1
1065,1
1091,1
1094,1
1114,1
1134,1
1140,1
1147,1
1155,1
1173,1
1183,1
1197,1
1217,1
1222,1
1274,1
1276,1
1304,1
1329,1
1342,1
1351,1
1369,1
1371,1
1389,1
1403,1
1406,1
1414,1
1418,1
1442,1
1480,1
1511,1
1520,1
1538,1
1549,1
1557,1
1563,1
1575,1
1643,1
1650,1
1659,1
1682,1
1703,1
1724,1
1726,1
1736,1
1739,1
1741,1
1792,1
1845,1
1873,1
1881,1
1897,1
1923,1
1940,1
1943,1
1953,1
1954,1
1979,1
1981,1
1990,1
2011,1
2054,1
2068,1
2073,1
2094,1
2120,1
2126,1
2130,1
2147,1
2165,1
2169,1
2177,1
41,0.999615532
59,0.999615532
66,0.999615532
95,0.999615532
311,0.999615532
388,0.999615532
396,0.999615532
424,0.999615532
479,0.999615532
483,0.999615532
505,0.999615532
614,0.999615532
951,0.999615532
958,0.999615532
990,0.999615532
1100,0.999615532
1201,0.999615532
1202,0.999615532
1204,0.999615532
1259,0.999615532
1562,0.999615532
1706,0.999615532
1898,0.999615532
1912,0.999615532
2066,0.999615532
2067,0.999615532
2142,0.999615532
2151,0.999615532
31,0.996155325
75,0.996155325
85,0.996155325
86,0.996155325
214,0.996155325
223,0.996155325
294,0.996155325
313,0.996155325
367,0.996155325
431,0.996155325
437,0.996155325
445,0.996155325
453,0.996155325
524,0.996155325
533,0.996155325
544,0.996155325
552,0.996155325
579,0.996155325
616,0.996155325
624,0.996155325
724,0.996155325
736,0.996155325
763,0.996155325
776,0.996155325
817,0.996155325
852,0.996155325
879,0.996155325
945,0.996155325
1017,0.996155325
1040,0.996155325
1109,0.996155325
1124,0.996155325
1137,0.996155325
1138,0.996155325
1150,0.996155325
1225,0.996155325
1343,0.996155325
1391,0.996155325
1395,0.996155325
1430,0.996155325
1440,0.996155325
1453,0.996155325
1553,0.996155325
1648,0.996155325
1686,0.996155325
1690,0.996155325
1919,0.996155325
1922,0.996155325
1960,0.996155325
2069,0.996155325
2104,0.996155325
2184,0.996155325
156,0.99231065
651,0.99231065
685,0.99231065
771,0.99231065
1627,0.99231065
1858,0.99231065
1901,0.99231065
2029,0.99231065
2100,0.99231065
99,0.980776624
200,0.980776624
203,0.980776624
224,0.980776624
308,0.980776624
323,0.980776624
419,0.980776624
456,0.980776624
477,0.980776624
517,0.980776624
578,0.980776624
592,0.980776624
653,0.980776624
681,0.980776624
700,0.980776624
746,0.980776624
762,0.980776624
772,0.980776624
777,0.980776624
783,0.980776624
796,0.980776624
810,0.980776624
821,0.980776624
827,0.980776624
856,0.980776624
882,0.980776624
908,0.980776624
1034,0.980776624
1036,0.980776624
1054,0.980776624
1090,0.980776624
1115,0.980776624
1122,0.980776624
1159,0.980776624
1176,0.980776624
1190,0.980776624
1227,0.980776624
1229,0.980776624
1265,0.980776624
1291,0.980776624
1310,0.980776624
1320,0.980776624
1364,0.980776624
1433,0.980776624
1459,0.980776624
1486,0.980776624
1564,0.980776624
1635,0.980776624
1669,0.980776624
1670,0.980776624
1719,0.980776624
1722,0.980776624
1752,0.980776624
1777,0.980776624
1793,0.980776624
1796,0.980776624
1805,0.980776624
1811,0.980776624
1890,0.980776624
1896,0.980776624
1910,0.980776624
1914,0.980776624
2001,0.980776624
2009,0.980776624
2033,0.980776624
2083,0.980776624
2090,0.980776624
2119,0.980776624
2145,0.980776624
136,0.976931949
160,0.976931949
263,0.976931949
379,0.976931949
409,0.976931949
485,0.976931949
508,0.976931949
568,0.976931949
670,0.976931949
715,0.976931949
720,0.976931949
797,0.976931949
840,0.976931949
938,0.976931949
939,0.976931949
959,0.976931949
1033,0.976931949
1084,0.976931949
1098,0.976931949
1099,0.976931949
1357,0.976931949
1381,0.976931949
1402,0.976931949
1416,0.976931949
1428,0.976931949
1489,0.976931949
1502,0.976931949
1535,0.976931949
1544,0.976931949
1649,0.976931949
1775,0.976931949
1806,0.976931949
1813,0.976931949
