,,,video_id,cosine_distance
1,1.11E-16,,,
4,1,,,
22,1,,,
24,1,,,
56,1,,,
59,1,,,
62,1,,,
75,1,,,
124,1,,,
132,1,,,
155,1,,,
159,1,,,
200,1,,,
221,1,,,
225,1,,,
232,1,,,
239,1,,,
242,1,,,
252,1,,,
266,1,,,
323,1,,,
338,1,,,
353,1,,,
383,1,,,
398,1,,,
405,1,,,
437,1,,,
461,1,,,
483,1,,,
488,1,,,
501,1,,,
520,1,,,
522,1,,,
524,1,,,
544,1,,,
547,1,,,
613,1,,,
621,1,,,
624,1,,,
632,1,,,
641,1,,,
646,1,,,
670,1,,,
692,1,,,
695,1,,,
700,1,,,
721,1,,,
734,1,,,
736,1,,,
745,1,,,
746,1,,,
751,1,,,
765,1,,,
777,1,,,
793,1,,,
801,1,,,
810,1,,,
813,1,,,
879,1,,,
894,1,,,
906,1,,,
925,1,,,
933,1,,,
982,1,,,
990,1,,,
995,1,,,
1010,1,,,
1054,1,,,
1087,1,,,
1094,1,,,
1109,1,,,
1114,1,,,
1127,1,,,
1134,1,,,
1135,1,,,
1161,1,,,
1173,1,,,
1197,1,,,
1201,1,,,
1217,1,,,
1280,1,,,
1287,1,,,
1304,1,,,
1342,1,,,
1362,1,,,
1397,1,,,
1406,1,,,
1414,1,,,
1430,1,,,
1433,1,,,
1442,1,,,
1473,1,,,
1493,1,,,
1513,1,,,
1520,1,,,
1549,1,,,
1550,1,,,
1563,1,,,
1575,1,,,
1591,1,,,
1593,1,,,
1611,1,,,
1643,1,,,
1650,1,,,
1709,1,,,
1724,1,,,
1726,1,,,
1739,1,,,
1741,1,,,
1750,1,,,
1772,1,,,
1782,1,,,
1790,1,,,
1808,1,,,
1869,1,,,
1878,1,,,
1910,1,,,
1914,1,,,
1938,1,,,
1940,1,,,
1954,1,,,
1990,1,,,
2048,1,,,
2051,1,,,
2063,1,,,
2066,1,,,
2068,1,,,
2090,1,,,
2120,1,,,
2151,1,,,
2153,1,,,
2185,1,,,
49,0.999615532,,,
189,0.999615532,,,
211,0.999615532,,,
420,0.999615532,,,
468,0.999615532,,,
513,0.999615532,,,
581,0.999615532,,,
684,0.999615532,,,
720,0.999615532,,,
774,0.999615532,,,
796,0.999615532,,,
951,0.999615532,,,
993,0.999615532,,,
1100,0.999615532,,,
1351,0.999615532,,,
1367,0.999615532,,,
1404,0.999615532,,,
1495,0.999615532,,,
1502,0.999615532,,,
1612,0.999615532,,,
1618,0.999615532,,,
1652,0.999615532,,,
1659,0.999615532,,,
1686,0.999615532,,,
1800,0.999615532,,,
134,0.996155325,,,
156,0.996155325,,,
223,0.996155325,,,
224,0.996155325,,,
246,0.996155325,,,
254,0.996155325,,,
259,0.996155325,,,
313,0.996155325,,,
351,0.996155325,,,
431,0.996155325,,,
479,0.996155325,,,
532,0.996155325,,,
607,0.996155325,,,
638,0.996155325,,,
685,0.996155325,,,
694,0.996155325,,,
724,0.996155325,,,
762,0.996155325,,,
767,0.996155325,,,
778,0.996155325,,,
790,0.996155325,,,
799,0.996155325,,,
831,0.996155325,,,
833,0.996155325,,,
868,0.996155325,,,
911,0.996155325,,,
955,0.996155325,,,
977,0.996155325,,,
