emotion,n_1,n_0,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence,,,,,,
Admiration,432,1625,0.808 ,-0.008 ,0.123 ,0.755 ,0.797 ,0.991 ,0.894 ,0.836 ,0.670 ,0.775 ,-0.651 ,0.506 ,0.859 ,0.791 ,,,,,,
Adoration,123,1934,1.044 ,-1.140 ,-0.891 ,0.990 ,0.249 ,0.545 ,0.412 ,-1.084 ,0.753 ,0.903 ,-0.925 ,1.189 ,0.614 ,0.968 ,,,,,,
Aesthetic-Appreciation,470,1587,0.402 ,-1.230 ,-0.525 ,0.805 ,-0.797 ,0.641 ,0.498 ,-0.932 ,0.175 ,-0.067 ,-0.976 ,1.067 ,0.041 ,0.758 ,,,,,,
Amusement,711,1346,0.581 ,-0.201 ,-0.623 ,0.202 ,-0.629 ,0.351 ,0.543 ,-0.546 ,0.324 ,-0.087 ,-0.595 ,0.675 ,0.780 ,0.779 ,,,,,,
Anger,25,2032,-1.136 ,0.547 ,0.038 ,-0.068 ,0.241 ,-0.731 ,-0.450 ,0.271 ,-2.372 ,-0.498 ,1.583 ,-1.216 ,-1.487 ,-1.626 ,,←14次元がマイナスになりやすい感情,,,,
Anxiety,110,1947,-1.580 ,1.003 ,0.857 ,-1.887 ,0.094 ,-1.429 ,-1.501 ,0.702 ,-0.764 ,-0.891 ,1.816 ,-1.614 ,-1.351 ,-1.772 ,,←14次元がマイナスになりやすい感情,,,,
Awe,242,1815,0.079 ,0.643 ,1.124 ,-0.202 ,0.394 ,-0.125 ,-0.182 ,0.577 ,0.157 ,0.377 ,-0.217 ,-0.558 ,0.116 ,0.040 ,,,,,,
Awkwardness,159,1898,-0.392 ,-0.301 ,-0.764 ,-0.753 ,-0.835 ,-0.524 ,-0.262 ,-0.404 ,-0.120 ,-0.703 ,0.130 ,-0.069 ,-0.057 ,-0.180 ,,,,,,
Boredom,11,2046,-1.257 ,-1.936 ,-3.290 ,-0.476 ,-1.209 ,-0.056 ,-0.174 ,-0.888 ,-0.099 ,-0.919 ,0.549 ,0.393 ,-1.374 ,-1.065 ,,,,,,
Calmness,293,1764,0.161 ,-2.396 ,-1.250 ,0.929 ,-0.603 ,0.798 ,0.526 ,-1.518 ,0.443 ,0.291 ,-0.980 ,1.167 ,-0.186 ,0.678 ,,,,,,
Confusion,91,1966,-0.952 ,-0.311 ,-0.632 ,-2.012 ,-0.811 ,-0.871 ,-0.666 ,-0.279 ,-0.488 ,-0.924 ,0.700 ,-0.348 ,-0.892 ,-0.931 ,,,,,,
Contempt,22,2035,-1.040 ,-0.584 ,-1.102 ,-0.002 ,-0.305 ,0.135 ,0.415 ,-0.390 ,-1.544 ,-0.460 ,0.936 ,-0.301 ,-1.120 ,-1.194 ,,,,,,
Craving,55,2002,0.947 ,-0.365 ,-0.534 ,0.914 ,-0.609 ,0.466 ,0.325 ,-0.831 ,0.018 ,-0.266 ,-0.671 ,0.964 ,0.382 ,0.734 ,,,,,,
