emotion,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,-0.014 ,-0.297 ,-0.140 ,0.161 ,-0.064 ,0.356 ,-0.332 ,0.855 ,-0.097 ,0.112 ,-0.511 ,-0.103 ,-0.009 ,0.228 
Adoration,1.567 ,-1.324 ,-0.311 ,-0.132 ,0.245 ,-0.378 ,-0.556 ,-0.507 ,-0.313 ,0.097 ,-0.485 ,0.137 ,0.649 ,0.052 
Aesthetic-Appreciation,0.196 ,-0.468 ,0.770 ,0.306 ,-0.395 ,-0.084 ,-0.023 ,0.098 ,-0.483 ,-0.269 ,-0.606 ,0.203 ,-1.061 ,0.782 
Amusement,0.085 ,0.688 ,-1.117 ,-0.444 ,-0.789 ,-0.314 ,0.282 ,-0.115 ,0.086 ,-0.456 ,0.341 ,0.198 ,0.858 ,0.545 
Anger,0.335 ,0.618 ,-1.408 ,0.429 ,0.296 ,-0.306 ,1.510 ,-0.088 ,-0.964 ,0.361 ,0.180 ,-0.561 ,-0.302 ,-0.877 
Anxiety,-0.038 ,-0.104 ,-0.099 ,-1.018 ,-0.012 ,0.931 ,0.026 ,0.337 ,0.391 ,-0.367 ,0.258 ,-0.386 ,0.165 ,-0.840 
Awe,-0.150 ,-0.250 ,1.250 ,-0.196 ,-0.172 ,0.322 ,-0.738 ,0.137 ,0.052 ,0.580 ,-1.044 ,-1.006 ,-0.544 ,0.799 
Awkwardness,-0.225 ,0.082 ,-0.935 ,-0.344 ,-0.618 ,-0.950 ,0.746 ,0.245 ,0.422 ,-0.415 ,0.255 ,0.171 ,0.573 ,0.058 
Boredom,-0.134 ,-0.715 ,-1.533 ,-0.009 ,-0.594 ,0.408 ,0.167 ,0.255 ,0.904 ,-0.667 ,1.336 ,0.382 ,-0.304 ,-0.357 
Calmness,-1.021 ,-2.391 ,0.890 ,0.612 ,0.427 ,-0.045 ,0.443 ,-0.777 ,0.547 ,0.144 ,-0.731 ,-0.166 ,-0.246 ,0.690 
Confusion,0.014 ,-0.166 ,-0.234 ,-1.971 ,-0.579 ,-0.089 ,1.221 ,0.144 ,0.334 ,-0.092 ,0.446 ,0.632 ,-0.173 ,-0.433 
Contempt,-0.363 ,-0.885 ,-0.213 ,-0.001 ,0.067 ,-0.009 ,2.464 ,-0.464 ,-1.412 ,0.207 ,0.692 ,0.070 ,0.361 ,-1.277 
Craving,2.001 ,0.628 ,-0.678 ,0.515 ,-0.201 ,0.504 ,-1.105 ,-0.248 ,-1.295 ,-1.097 ,-0.352 ,0.185 ,-0.514 ,-0.009 
