emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,432,6.884 ,6.366 ,7.539 ,7.164 ,5.644 ,5.951 ,5.731 ,6.215 ,5.486 ,5.535 ,2.368 ,6.546 ,6.322 ,7.530 
Adoration,123,7.593 ,4.642 ,6.626 ,7.715 ,5.033 ,5.585 ,5.276 ,3.260 ,5.691 ,5.878 ,1.602 ,8.220 ,6.187 ,8.220 
Aesthetic-Appreciation,470,6.268 ,4.964 ,7.049 ,7.194 ,3.666 ,5.534 ,5.262 ,3.843 ,5.074 ,4.651 ,1.934 ,7.426 ,5.145 ,7.440 
Amusement,711,6.392 ,6.156 ,7.053 ,6.446 ,3.982 ,5.111 ,5.210 ,4.436 ,5.156 ,4.644 ,2.634 ,6.617 ,6.008 ,7.255 
Anger,25,3.360 ,7.280 ,7.480 ,6.120 ,5.040 ,3.520 ,3.920 ,5.560 ,2.440 ,4.040 ,6.800 ,2.680 ,2.280 ,2.400 
Anxiety,110,2.755 ,7.927 ,8.236 ,3.536 ,4.791 ,2.564 ,2.445 ,6.273 ,4.145 ,3.573 ,6.909 ,2.082 ,2.718 ,2.455 
Awe,242,5.785 ,7.306 ,8.372 ,5.938 ,5.219 ,4.545 ,4.384 ,5.988 ,5.079 ,5.182 ,3.033 ,4.405 ,5.281 ,6.211 
Awkwardness,159,4.906 ,5.912 ,6.755 ,5.113 ,3.384 ,3.925 ,4.252 ,4.390 ,4.805 ,3.836 ,3.711 ,5.434 ,4.981 ,5.736 
Boredom,11,3.091 ,3.182 ,4.273 ,5.455 ,2.636 ,4.636 ,4.364 ,3.455 ,4.818 ,3.455 ,4.636 ,6.545 ,2.455 ,3.636 
Calmness,293,5.925 ,3.737 ,6.464 ,7.471 ,3.795 ,5.840 ,5.372 ,2.962 ,5.338 ,5.068 ,1.720 ,7.853 ,4.775 ,7.461 
Confusion,91,3.813 ,5.879 ,6.846 ,3.319 ,3.363 ,3.352 ,3.615 ,4.582 ,4.418 ,3.516 ,4.890 ,4.780 ,3.462 ,4.066 
Contempt,22,3.545 ,5.409 ,6.364 ,6.227 ,4.136 ,4.955 ,5.318 ,4.364 ,3.273 ,4.091 ,5.455 ,4.864 ,2.955 ,3.364 
Craving,55,7.509 ,5.782 ,6.927 ,7.673 ,3.655 ,5.491 ,5.164 ,3.600 ,4.945 ,4.364 ,2.036 ,7.855 ,5.800 ,7.800 
Disappointment,14,4.357 ,4.929 ,6.143 ,5.214 ,5.500 ,3.857 ,3.857 ,5.643 ,4.500 ,4.714 ,5.786 ,6.214 ,3.143 ,3.929 
Disgust,137,2.226 ,7.197 ,7.686 ,5.825 ,3.642 ,2.978 ,2.847 ,4.854 ,3.628 ,2.876 ,5.920 ,2.745 ,2.102 ,2.109 
Empathic-Pain,213,3.249 ,7.169 ,7.925 ,5.451 ,4.864 ,2.714 ,2.502 ,5.798 ,3.465 ,3.967 ,6.676 ,2.516 ,2.610 ,2.488 
Entrancement,136,5.853 ,5.779 ,7.801 ,6.213 ,4.074 ,4.831 ,4.787 ,4.228 ,5.015 ,4.816 ,2.434 ,6.309 ,4.669 ,6.919 
Envy,2,5.500 ,6.000 ,6.500 ,6.500 ,3.500 ,6.500 ,6.500 ,4.500 ,4.500 ,5.000 ,2.000 ,6.500 ,5.500 ,7.000 
Excitement,172,7.116 ,8.570 ,8.523 ,6.326 ,6.651 ,5.599 ,5.773 ,7.483 ,5.413 ,5.628 ,3.017 ,4.291 ,6.779 ,6.895 
