ìÆâÊî‘çÜ,417,,,,,,,441,,,,,,,466,,,,,,
ÉÇÉfÉã,chatgpt-4o-latest,gpt-5,gpt-5.1-chat-latest,gpt-5.2-chat-latest,gpt-5.2-pro,gpt-5-mini,gpt-5-nano,chatgpt-4o-latest,gpt-5,gpt-5.1-chat-latest,gpt-5.2-chat-latest,gpt-5.2-pro,gpt-5-mini,gpt-5-nano,chatgpt-4o-latest,gpt-5,gpt-5.1-chat-latest,gpt-5.2-chat-latest,gpt-5.2-pro,gpt-5-mini,gpt-5-nano
Admiration,0,0,0,0,0,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adoration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aesthetic-Appreciation,0,0,0,0,0,0,0,0,0,0,0,0,50,0,10,0,0,0,0,50,0
Amusement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety,0,50,0,10,50,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Awe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Awkwardness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Boredom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calmness,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,50
Confusion,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
Contempt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disappointment,0,1,0,50,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disgust,0,0,0,0,0,0,0,10,50,50,0,0,0,0,0,0,10,10,0,0,0
Empathic-Pain,50,0,50,0,0,0,0,50,0,0,50,10,0,0,0,0,0,0,0,0,0
Entrancement,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,50,0,0,0,0,0
Envy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excitement,0,0,0,1,0,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fear,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0
Guilt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horror,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,50,50,50,0,0
Interest,0,0,0,0,0,1,1,0,1,0,0,0,0,10,0,10,0,0,0,10,10
Joy,0,0,0,0,0,0,10,0,0,0,0,0,0,50,0,0,0,0,0,0,0
Nostalgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pride,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relief,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sadness,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Satisfaction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sexual-Desire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surprise,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sympathy,0,10,0,0,1,0,0,0,0,0,10,50,0,0,0,0,0,0,0,0,0
Triumph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
words,pain,nervous,pain,letdown,tense,impressive,Excitement,pain,gross,repulsive,distress,concern,serene,Joy,absorbed,mesmerized,disturbing,terrifying,creepy,beauty,Calmness
,distress,tense,hurt,frustration,nervous,skilled,Joy,distress,repulsive,gross,concern,compassion,soothing,Admiration,mesmerized,captivated,unnerving,macabre,disturbing,texture,Interest
,,uneasy,,,on edge,graceful,,,nauseating,,unease,tenderness,pleasurable,,,absorbed,,nightmarish,eerie,craftsmanship,
reasons,the gymnast attempting a dangerous vault,a gymnast sprints and launches off the vault,a gymnast performing a vault,the gymnast losing balance on landing,A gymnast performing a high-risk vault with fast approach and multiple flips,"gymnast running, vaulting and performing multiple flips",athlete performing a dynamic movement from the platform,small humanoid figure with a pained expression,close-up of hands manipulating a tiny human-like head,a distorted humanoid figure,a crying infant,a crying infant shown in close-up,close-up of gentle hands shaping/handling a small sculpted face,A close-up of a smiling carved head being gently held by hands,slow rotation of a 3D-modeled face,slow rotation of a sculpted face in darkness,distorted face-like form,A human-like face floating alone in darkness,a disembodied human-like face floating alone against a black background,a carved face or mask centrally framed,"close-up of a neutral, orange-toned face against a black background"
,uncontrolled mid-air rotation,"high, fast flips with risk of falling",loss of control during the landing,hands touching the mat indicating a fall,Uncertainty during the airborne rotation as the landing approaches,dynamic mid-air acrobatics visible in several frames,crowd visible in stadium stands reacting to the action,being held and manipulated by hands,"wet, slimy liquid dripping over the object",hands manipulating the figure,adult hands firmly holding the baby's head,adult hands firmly holding/supporting the baby's head and face,"smooth, wet sheen and slow tactile motions emphasizing texture","Hands manipulating the sculpture in a calm, careful manner",smooth transition from distorted to natural form,"dramatic, warm spotlighting on the face",slow rotation in darkness,Distorted and unsettling facial features,slow changes in angle/position that reveal the face more clearly over time,warm directional lighting that emphasizes surface details,"repetitive, unchanging visual frame suggesting stillness"
,the gymnast landing headfirst and collapsing,rough landing onto knees/hands suggesting a failed attempt,impact with the ground,the contrast between a powerful vault and an unsuccessful finish,A rough landing that ends with the athlete down on the mat,apparent successful landing and crowd/officials watching,brightly lit arena and fast-paced sequence contributing to a high-energy vibe,perceived discomfort or agony in facial expressions,the miniature face showing a pained expression,unsettling facial expressions on the modeled head,liquid being poured over the baby's face,"a clinical/care context implied by white sleeves and handling, suggesting the baby is being attended to","the peaceful, content expression on the sculpted face","Repeated close framing on the smile and facial features suggesting positive, approving perception",minimalist black background enhancing focus,minimal background that focuses attention on the object,unnatural facial features,"Slow, continuous reveal and subtle movement without context","the closed eyes and tense, grimacing expression suggesting discomfort or something unnatural","slow, subtle motion/rotation revealing features and creating an uncanny effect","absence of dynamic action or dialogue contributing to a calm, attentive mood"
