,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,632,632,632,632,632,632,632,632,632,632,632,632,632,632,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1724,1724,1724,1724,1724,1724,1724,1724,1724,1724,1724,1724,1724,1724,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,522,522,522,522,522,522,522,522,522,522,522,522,522,522
,chatgpt-4o-latest,chatgpt-4o-latest,gpt-5,gpt-5,gpt-5.2-pro,gpt-5.2-pro,gpt-5.1-chat-latest,gpt-5.1-chat-latest,gpt-5.2-chat-latest,gpt-5.2-chat-latest,gpt-5-mini,gpt-5-mini,gpt-5-nano,gpt-5-nano,chatgpt-4o-latest,chatgpt-4o-latest,gpt-5,gpt-5,gpt-5.2-pro,gpt-5.2-pro,gpt-5.1-chat-latest,gpt-5.1-chat-latest,gpt-5.2-chat-latest,gpt-5.2-chat-latest,gpt-5-mini,gpt-5-mini,gpt-5-nano,gpt-5-nano,chatgpt-4o-latest,chatgpt-4o-latest,gpt-5,gpt-5,gpt-5.2-pro,gpt-5.2-pro,gpt-5.1-chat-latest,gpt-5.1-chat-latest,gpt-5.2-chat-latest,gpt-5.2-chat-latest,gpt-5-mini,gpt-5-mini,gpt-5-nano,gpt-5-nano,chatgpt-4o-latest,chatgpt-4o-latest,gpt-5,gpt-5,gpt-5.2-pro,gpt-5.2-pro,gpt-5.1-chat-latest,gpt-5.1-chat-latest,gpt-5.2-chat-latest,gpt-5.2-chat-latest,gpt-5-mini,gpt-5-mini,gpt-5-nano,gpt-5-nano,chatgpt-4o-latest,chatgpt-4o-latest,gpt-5,gpt-5,gpt-5.2-pro,gpt-5.2-pro,gpt-5.1-chat-latest,gpt-5.1-chat-latest,gpt-5.2-chat-latest,gpt-5.2-chat-latest,gpt-5-mini,gpt-5-mini,gpt-5-nano,gpt-5-nano,,chatgpt-4o-latest,chatgpt-4o-latest,gpt-5,gpt-5,gpt-5.2-pro,gpt-5.2-pro,gpt-5.1-chat-latest,gpt-5.1-chat-latest,gpt-5.2-chat-latest,gpt-5.2-chat-latest,gpt-5-mini,gpt-5-mini,gpt-5-nano,gpt-5-nano,chatgpt-4o-latest,chatgpt-4o-latest,gpt-5,gpt-5,gpt-5.2-pro,gpt-5.2-pro,gpt-5.1-chat-latest,gpt-5.1-chat-latest,gpt-5.2-chat-latest,gpt-5.2-chat-latest,gpt-5-mini,gpt-5-mini,gpt-5-nano,gpt-5-nano,chatgpt-4o-latest,chatgpt-4o-latest,gpt-5,gpt-5,gpt-5.2-pro,gpt-5.2-pro,gpt-5.1-chat-latest,gpt-5.1-chat-latest,gpt-5.2-chat-latest,gpt-5.2-chat-latest,gpt-5-mini,gpt-5-mini,gpt-5-nano,gpt-5-nano
Admiration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Admiration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,1,0,0,0
Adoration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adoration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aesthetic-Appreciation,0,10,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aesthetic-Appreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amusement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,1,0,0,0,1,0,1,0,0,0,10,0,0,50,0,50,0,1,0,50,0,50,0,50,0,50,Amusement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,10,0,1,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,10,0,50,0,1,0,10,0,0,0,0,0,0,10,0,0,0,10,0,0,0,50,0,0,0,10,0,50,1,0,1,0,0,1,10,0,Anxiety,1,0,50,0,10,0,10,0,10,0,10,0,10,0,0,1,0,1,0,1,0,1,0,1,0,10,0,0,0,0,0,1,0,1,0,1,0,10,0,1,0,1
Awe,0,0,0,0,0,1,0,0,0,10,0,10,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Awe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Awkwardness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,10,0,0,0,0,0,0,Awkwardness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boredom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boredom,0,1,0,1,0,1,0,1,0,1,0,1,0,1,50,0,50,0,50,0,50,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calmness,0,1,0,10,0,10,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,50,0,50,0,50,0,50,0,50,1,0,10,0,10,0,50,0,50,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Calmness,0,50,0,10,0,50,0,10,0,50,0,10,0,10,10,0,10,0,10,0,10,0,50,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Confusion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,Confusion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contempt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Contempt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Craving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disappointment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disappointment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disgust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,50,0,50,0,50,0,50,0,50,0,1,0,1,0,Disgust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,10,0,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Empathic-Pain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,10,0,0,0,10,0,10,1,0,1,0,0,0,0,0,0,0,50,0,0,0,Empathic-Pain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,10,0,0,0,10,0,10
Entrancement,0,50,0,50,0,50,0,50,0,50,0,50,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Entrancement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Envy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Envy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excitement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Excitement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,0,50,0,50,0,50,0,50,0,50,0
Fear,10,0,10,0,50,0,50,0,10,0,50,0,50,0,50,0,50,0,0,1,50,0,0,1,0,0,0,10,50,0,50,0,50,0,50,0,10,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,50,0,Fear,50,0,0,0,50,0,50,0,50,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guilt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Guilt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horror,50,0,50,0,10,0,10,0,50,0,10,0,10,0,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,0,0,Horror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Interest,0,10,0,50,0,10,0,50,0,10,0,50,0,50,1,0,1,0,1,0,1,0,1,0,1,0,10,0,0,1,0,0,10,0,10,0,1,0,0,0,1,0
Joy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0
